title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
gandhi,"Biography,Drama,History",89%,92%,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - ART DIRECTION (Won)
Oscars - CINEMATOGRAPHY (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Won)
Oscars - MAKEUP (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Won)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Won)
BAFTAs - Film | Cinematography in 1983 (Nominated)
BAFTAs - Film | Costume Design in 1983 (Nominated)
BAFTAs - Film | Direction in 1983 (Won)
BAFTAs - Film | Film in 1983 (Won)
BAFTAs - Film | Film Editing in 1983 (Nominated)
BAFTAs - Film | Most Promising Newcomer To Leading Film Roles in 1983 (Won)
BAFTAs - Film | Production Design in 1983 (Nominated)
BAFTAs - Film | Score for a Film in 1983 (Nominated)
BAFTAs - Film | Screenplay in 1983 (Nominated)
BAFTAs - Film | Sound in 1983 (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Won)
Golden Globes - Best Director - Motion Picture (Won)
Golden Globes - Best Screenplay - Motion Picture (Won)
Golden Globes - New Star Of The Year - Actor (Won)",25,15,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - ART DIRECTION (Won)
Oscars - CINEMATOGRAPHY (Won)
Oscars - COSTUME DESIGN (Won)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Won)
Oscars - BEST PICTURE (Won)
Oscars - WRITING (Screenplay Written Directly for the Screen) (Won)
BAFTAs - Film | Direction in 1983 (Won)
BAFTAs - Film | Film in 1983 (Won)
BAFTAs - Film | Most Promising Newcomer To Leading Film Roles in 1983 (Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Won)
Golden Globes - Best Director - Motion Picture (Won)
Golden Globes - Best Screenplay - Motion Picture (Won)
Golden Globes - New Star Of The Year - Actor (Won)","Oscars - MAKEUP (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - SOUND (Nominated)
BAFTAs - Film | Cinematography in 1983 (Nominated)
BAFTAs - Film | Costume Design in 1983 (Nominated)
BAFTAs - Film | Film Editing in 1983 (Nominated)
BAFTAs - Film | Production Design in 1983 (Nominated)
BAFTAs - Film | Score for a Film in 1983 (Nominated)
BAFTAs - Film | Screenplay in 1983 (Nominated)
BAFTAs - Film | Sound in 1983 (Nominated)","$127,767,889"
grease 2,"Comedy,Music,Musical",35%,53%,,0,0,,,
hanky panky,"Action,Comedy,Crime",45%,31%,,0,0,,,
heat and dust,"Drama,Romance",79%,59%,,0,0,,,
heidi's song,"Adventure,Animation,Drama",,92%,,0,0,,,
hero,"Adventure,Drama,Fantasy",94%,87%,Oscars - FOREIGN LANGUAGE FILM (Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM (Nominated),"$69,671,205"
hey good lookin',"Animation,Comedy,Drama",,52%,,0,0,,,
honkytonk man,"Comedy,Drama,Music",93%,64%,,0,0,,,
inseminoid,"Horror,Sci-Fi",,13%,,0,0,,,
the house where evil dwells,Horror,,21%,,0,0,,,
i ought to be in pictures,"Comedy,Drama",80%,43%,,0,0,,,
i'm dancing as fast as i can,"Biography,Drama",33%,53%,,0,0,,,
