primaryTitle,originalTitle,genres,critic_score,audience_score
Chicken Run,chicken run,"Adventure,Animation,Comedy",97%,65%
Ever After: A Cinderella Story,ever after: a cinderella story,"Drama,Romance",91%,84%
City of Angels,city of angels,"Drama,Fantasy,Romance",58%,82%
Dancing at Lughnasa,dancing at lughnasa,"Drama,Romance",60%,58%
Meet the Deedles,meet the deedles,"Comedy,Family,Sport",10%,38%
The Deep End of the Ocean,the deep end of the ocean,Drama,42%,58%
Deep Impact,deep impact,"Action,Drama,Sci-Fi",45%,43%
Dogma,dogma,"Adventure,Comedy,Drama",68%,85%
The 13th Warrior,the 13th warrior,"Action,Adventure,History",33%,66%
Enemy of the State,enemy of the state,"Action,Thriller",71%,78%
Eyes Wide Shut,eyes wide shut,"Drama,Mystery,Thriller",76%,74%
Fantastic Four,fantastic four,"Action,Adventure,Fantasy",28%,45%
Fear and Loathing in Las Vegas,fear and loathing in las vegas,"Adventure,Comedy,Drama",51%,89%
Frida,frida,"Biography,Drama,Romance",76%,85%
From Hell,from hell,"Crime,Horror,Mystery",57%,66%
Gods and Monsters,gods and monsters,"Biography,Drama",96%,82%
Godzilla,godzilla,"Action,Sci-Fi,Thriller",20%,28%
Stepmom,stepmom,"Comedy,Drama",44%,75%
The Governess,the governess,"Drama,Romance",65%,50%
The Green Mile,the green mile,"Crime,Drama,Fantasy",79%,94%
Half Baked,half baked,"Comedy,Crime",28%,81%
Hard Rain,hard rain,"Action,Crime,Drama",34%,34%
The Hi-Lo Country,the hi-lo country,"Drama,Romance,Western",54%,48%
Holy Man,holy man,"Comedy,Drama",12%,25%
How Stella Got Her Groove Back,how stella got her groove back,"Comedy,Drama,Romance",50%,66%
Illuminata,illuminata,"Drama,Romance",46%,67%
In Dreams,in dreams,"Drama,Fantasy,Horror",25%,40%
The Interview,the interview,"Crime,Drama,Thriller",,
Jakob the Liar,jakob the liar,"Comedy,Drama,War",29%,63%
Living Out Loud,living out loud,"Comedy,Drama,Romance",60%,62%
Kissing a Fool,kissing a fool,"Comedy,Romance",29%,45%
Knock Off,knock off,"Action,Crime,Thriller",10%,26%
Krippendorf's Tribe,krippendorf's tribe,"Action,Adventure,Comedy",17%,24%
The Last Days of Disco,the last days of disco,"Comedy,Drama,Music",73%,66%
"Lock, Stock and Two Smoking Barrels","lock, stock and two smoking barrels","Comedy,Crime",75%,93%
The Lord of the Rings: The Fellowship of the Ring,the lord of the rings: the fellowship of the ring,"Adventure,Drama,Fantasy",92%,95%
Lost in Space,lost in space,"Action,Adventure,Sci-Fi",27%,24%
Major League: Back to the Minors,major league: back to the minors,"Comedy,Sport",21%,25%
The Mask of Zorro,the mask of zorro,"Action,Adventure,Comedy",84%,73%
Mercury Rising,mercury rising,"Action,Crime,Drama",21%,40%
Mission: Impossible II,mission: impossible ii,"Action,Adventure,Thriller",56%,42%
The Mod Squad,the mod squad,"Action,Crime,Thriller",3%,17%
Mulan,mulan,"Adventure,Animation,Comedy",86%,85%
My Favorite Martian,my favorite martian,"Comedy,Family,Sci-Fi",12%,31%
My Giant,my giant,"Comedy,Drama",21%,25%
The Negotiator,the negotiator,"Action,Crime,Drama",74%,79%
The Newton Boys,the newton boys,"Action,Crime,Drama",65%,44%
The Object of My Affection,the object of my affection,"Comedy,Drama,Romance",53%,51%
One True Thing,one true thing,Drama,87%,71%
The Opposite of Sex,the opposite of sex,"Comedy,Drama,Romance",81%,60%
Palmetto,palmetto,"Crime,Drama,Mystery",39%,31%
A Perfect Murder,a perfect murder,"Crime,Drama,Thriller",55%,51%
Permanent Midnight,permanent midnight,"Biography,Drama,Romance",59%,54%
Pleasantville,pleasantville,"Comedy,Drama,Fantasy",86%,79%
Practical Magic,practical magic,"Comedy,Drama,Fantasy",24%,73%
The Prince of Egypt,the prince of egypt,"Adventure,Animation,Drama",,93%
The Prince of Egypt,the prince of egypt,"Adventure,Animation,Drama",79%,90%
Pushing Tin,pushing tin,"Comedy,Drama,Romance",48%,42%
Quest for Camelot,quest for camelot,"Adventure,Animation,Comedy",43%,60%
Resident Evil,resident evil,"Action,Horror,Sci-Fi",36%,67%
Rush Hour,rush hour,"Action,Comedy,Crime",62%,78%
Saving Private Ryan,saving private ryan,"Drama,War",94%,95%
Senseless,senseless,"Comedy,Romance",,54%
The Shipping News,the shipping news,Drama,54%,61%
Slums of Beverly Hills,slums of beverly hills,"Comedy,Drama",81%,68%
Snow Falling on Cedars,snow falling on cedars,"Drama,Mystery,Romance",39%,67%
Sour Grapes,sour grapes,Comedy,27%,37%
Species II,species ii,"Action,Horror,Sci-Fi",9%,18%
Star Trek: Insurrection,star trek: insurrection,"Action,Adventure,Sci-Fi",55%,44%
Tarzan,tarzan,"Adventure,Animation,Comedy",89%,75%
Tarzan and the Lost City,tarzan and the lost city,"Action,Adventure,Family",6%,23%
The Theory of Flight,the theory of flight,"Comedy,Drama,Romance",50%,57%
Titus,titus,"Drama,History,Thriller",69%,86%
Trance,trance,"Action,Comedy,Horror",,
U.S. Marshals,u.s. marshals,"Action,Crime,Thriller",30%,53%
Vampires,vampires,"Action,Horror,Thriller",,
Velvet Goldmine,velvet goldmine,"Drama,Music",63%,80%
Wag the Dog,wag the dog,"Comedy,Drama",86%,76%
The Wedding Singer,the wedding singer,"Comedy,Music,Romance",72%,80%
What Dreams May Come,what dreams may come,"Drama,Fantasy,Romance",52%,84%
Wild Things,wild things,"Crime,Drama,Mystery",64%,54%
Wild Wild West,wild wild west,"Action,Comedy,Sci-Fi",16%,28%
Wrongfully Accused,wrongfully accused,"Action,Comedy,Thriller",18%,56%
X-Men,x-men,"Action,Adventure,Sci-Fi",82%,83%
Zero Effect,zero effect,"Comedy,Crime,Drama",66%,76%
eXistenZ,existenz,"Horror,Mystery,Sci-Fi",75%,69%
Fantasia 2000,fantasia 2000,"Animation,Family,Fantasy",80%,75%
Men in Black II,men in black ii,"Action,Adventure,Comedy",38%,45%
Titan A.E.,titan a.e.,"Action,Adventure,Animation",50%,61%
Star Wars: Episode I - The Phantom Menace,star wars: episode i - the phantom menace,"Action,Adventure,Fantasy",52%,59%
The Emperor's New Groove,the emperor's new groove,"Adventure,Animation,Comedy",86%,84%
Jacques Brel Is Alive and Well and Living in Paris,jacques brel is alive and well and living in paris,"Drama,Music,Musical",,
Nostalgia,nostalgia,Biography,,
Star Wars: Episode II - Attack of the Clones,star wars: episode ii - attack of the clones,"Action,Adventure,Fantasy",65%,56%
Star Wars: Episode III - Revenge of the Sith,star wars: episode iii - revenge of the sith,"Action,Adventure,Fantasy",79%,66%
Hannibal,hannibal,,,
Lethal Weapon 4,lethal weapon 4,"Action,Crime,Thriller",52%,64%
Return to Me,return to me,"Comedy,Drama,Romance",62%,80%
Henry Fool,henry fool,"Comedy,Drama",89%,83%
One Tough Cop,one tough cop,"Action,Crime",24%,21%
Ronin,ronin,"Action,Crime,Thriller",70%,80%
Small Soldiers,small soldiers,"Action,Adventure,Comedy",49%,45%
American Pie,american pie,Adult,62%,61%
Analyze This,analyze this,"Comedy,Crime",69%,62%
The Other Sister,the other sister,"Comedy,Drama,Romance",29%,71%
Just the Ticket,just the ticket,"Comedy,Drama,Romance",23%,38%
Why Do Fools Fall in Love,why do fools fall in love,"Biography,Drama,Music",52%,76%
Beauty,beauty,"Adult,Drama,Romance",,
Cube,cube,"Horror,Mystery,Sci-Fi",63%,76%
Daddy's Little Girls,daddy's little girls,"Adult,Comedy",26%,81%
Elvis,elvis,,77%,94%
Family Plan,family plan,"Comedy,Family",,55%
Cure,cure,"Crime,Horror,Mystery",,
Madeline,madeline,"Comedy,Family",,
Strangeland,strangeland,"Horror,Thriller",6%,64%
Two Girls and a Guy,two girls and a guy,Drama,50%,41%
Very Bad Things,very bad things,"Comedy,Crime,Thriller",41%,58%
The Big One,the big one,"Comedy,Crime,Documentary",92%,67%
Blast from the Past,blast from the past,"Comedy,Drama,Romance",58%,57%
The Cider House Rules,the cider house rules,"Drama,Romance",71%,77%
He Got Game,he got game,"Drama,Sport",80%,83%
Orgazmo,orgazmo,Comedy,48%,66%
Simon Birch,simon birch,"Comedy,Drama,Family",44%,77%
Lip Service,lip service,"Adult,Comedy",,
Notting Hill,notting hill,"Comedy,Drama,Romance",84%,79%
Paulie,paulie,"Adventure,Comedy,Drama",62%,55%
Thirteen,thirteen,Drama,81%,77%
Gasoline Alley,gasoline alley,"Comedy,Romance",31%,86%
Venom,gift,Drama,100%,89%
Glass,glass,Thriller,,
Outside Providence,outside providence,"Comedy,Drama,Romance",52%,65%
Passion in the Desert,passion in the desert,"Adventure,Drama",70%,65%
Shrek,shrek,"Adventure,Animation,Comedy",88%,90%
Cookie's Fortune,cookie's fortune,"Comedy,Drama",86%,66%
I Went Down,i went down,"Action,Comedy,Crime",84%,86%
Pecker,pecker,"Comedy,Drama",52%,64%
The Loss of Sexual Innocence,the loss of sexual innocence,Drama,47%,60%
Election,election,"Comedy,Romance",92%,79%
For Love of the Game,for love of the game,"Drama,Romance,Sport",46%,75%
Hav Plenty,hav plenty,"Comedy,Romance",36%,83%
Waking the Dead,waking the dead,"Drama,Mystery,Romance",50%,77%
Panic,panic,"Crime,Drama",,
Another Day in Paradise,another day in paradise,"Crime,Drama,Thriller",,
Can't Hardly Wait,can't hardly wait,"Comedy,Romance",40%,63%
Instinct,instinct,"Drama,Thriller",26%,67%
Rushmore,rushmore,"Comedy,Drama,Romance",90%,91%
Uncle Frank,uncle frank,Documentary,,
You've Got Mail,you've got mail,"Comedy,Drama,Romance",70%,73%
Backtrack,backtrack,,40%,24%
The Iron Giant,the iron giant,"Action,Adventure,Animation",96%,90%
Patch Adams,patch adams,"Biography,Comedy,Drama",21%,73%
Ravenous,ravenous,"Adventure,Drama,Horror",52%,78%
There's Something About Mary,there's something about mary,"Comedy,Romance",84%,61%
I Still Know What You Did Last Summer,i still know what you did last summer,"Horror,Mystery,Thriller",7%,29%
Mickey Blue Eyes,mickey blue eyes,"Comedy,Crime,Romance",45%,42%
Diggers,diggers,Comedy,69%,57%
Dinosaur,dinosaur,"Adventure,Animation,Drama",,
Rockin' Road Trip,rockin' road trip,"Comedy,Music",,
Strange Wilderness,strange wilderness,,2%,35%
Bowfinger,bowfinger,Comedy,81%,61%
Darkness Falls,darkness falls,"Drama,Thriller",10%,34%
Edtv,edtv,"Comedy,Drama",63%,30%
Fair Play,fair play,Drama,,27%
The Adventures of Rocky & Bullwinkle,the adventures of rocky and bullwinkle,"Adventure,Comedy,Family",42%,21%
BASEketball,baseketball,"Comedy,Sport",41%,74%
Flypaper,flypaper,"Comedy,Crime",,33%
Mystery Men,mystery men,"Action,Comedy,Fantasy",60%,57%
October Sky,october sky,"Biography,Drama,Family",91%,88%
The Flash,the flash,Drama,,
Teaching Mrs. Tingle,teaching mrs. tingle,"Comedy,Thriller",19%,31%
The Matrix,the matrix,"Action,Sci-Fi",83%,85%
Treasure Planet,treasure planet,"Adventure,Animation,Family",69%,72%
Paparazzi,paparazzi,"Comedy,Romance",18%,38%
Adam,adam,"Drama,Thriller",,62%
Best Laid Plans,best laid plans,"Crime,Drama,Thriller",43%,39%
Black & Blue,black & blue,Adult,,
The Faculty,the faculty,"Horror,Mystery,Sci-Fi",58%,57%
Flash,flash,"Action,Drama",,
The Siege,the siege,"Action,Thriller",,
The Rugrats Movie,the rugrats movie,"Adventure,Animation,Comedy",59%,50%
Scream 3,scream 3,"Horror,Mystery",41%,38%
The Talented Mr. Ripley,the talented mr. ripley,"Crime,Drama,Thriller",85%,80%
8MM,8mm,"Crime,Drama,Mystery",23%,52%
Albatross,albatross,Drama,54%,39%
Detention,detention,Drama,,
"Mystery, Alaska","mystery, alaska","Comedy,Drama,Sport",37%,66%
Disturbing Behavior,disturbing behavior,"Horror,Mystery,Sci-Fi",35%,40%
Maid in Manhattan,maid in manhattan,Adult,38%,44%
Pitch Black,pitch black,"Horror,Sci-Fi,Thriller",60%,77%
Wind River,wind river,"Drama,Family,Western",,57%
Breathe,breathe,Comedy,,
Hideous Kinky,hideous kinky,"Adventure,Drama,Romance",66%,60%
The Loves of Colette,la vie en rose,Drama,74%,84%
The Kidnapping,rapt,"Crime,Drama,Romance",,
The Tree of Life,the tree of life,,,
200 Cigarettes,200 cigarettes,"Comedy,Drama,Romance",30%,59%
Arlington Road,arlington road,"Action,Crime,Drama",63%,74%
Billy's Hollywood Screen Kiss,billy's hollywood screen kiss,"Comedy,Romance",78%,63%
Entrapment,entrapment,"Action,Crime,Romance",40%,50%
Fight Club,fight club,"Crime,Drama,Thriller",80%,96%
Inconceivable,inconceivable,Comedy,,22%
Scary Movie,scary movie,"Comedy,Horror,Thriller",51%,43%
Shakespeare in Love,shakespeare in love,"Comedy,Drama,History",92%,80%
The Astronaut's Wife,the astronaut's wife,"Drama,Sci-Fi,Thriller",15%,33%
Brown Sugar,brown sugar,Romance,67%,90%
Edge of Seventeen,edge of seventeen,"Comedy,Drama,Romance",80%,73%
Girl,girl,"Comedy,Drama,Music",84%,75%
Good Grief,good grief,"Adventure,Drama",,
Intolerable Cruelty,intolerable cruelty,"Comedy,Crime,Romance",76%,48%
The Opportunists,the opportunists,"Comedy,Crime,Drama",54%,46%
Pi,pi,"Drama,Horror,Mystery",88%,85%
The Road to El Dorado,the road to el dorado,"Adventure,Animation,Comedy",49%,66%
The Yards,the yards,"Crime,Drama,Romance",64%,51%
20 Dates,20 dates,"Biography,Comedy,Romance",35%,47%
Cherry,cherry,"Comedy,Romance",,50%
Cruel Intentions,cruel intentions,"Drama,Romance",53%,80%
Hard Candy,hard candy,"Adult,Comedy",67%,77%
High Art,high art,"Drama,Romance",76%,77%
Lake Placid,lake placid,"Action,Comedy,Horror",47%,37%
Message in a Bottle,message in a bottle,"Drama,Romance",32%,66%
Training Day,training day,"Crime,Drama,Thriller",74%,89%
True Crime,true crime,"Crime,Drama,Mystery",0%,41%
Varsity Blues,varsity blues,"Comedy,Drama,Romance",45%,76%
Impostors,impostors,Comedy,,
Local Color,local color,Drama,39%,59%
The Insider,the insider,"Biography,Drama,History",,
The Insider,the insider,"Biography,Drama,History",96%,90%
Mumford,mumford,"Comedy,Drama",58%,65%
Air Bud: Golden Receiver,air bud: golden receiver,"Comedy,Family,Sport",21%,38%
Forces of Nature,forces of nature,"Comedy,Romance",46%,34%
Jack Frost,jack frost,"Comedy,Drama,Family",,
Hotel Transylvania,hotel transylvania,Adult,44%,72%
Hotel Transylvania 2,hotel transylvania 2,Adult,57%,64%
The House,the house,Adult,,
Inspector Gadget,inspector gadget,"Action,Adventure,Comedy",20%,18%
Isn't She Great,isn't she great,"Biography,Comedy,Drama",24%,37%
Party Monster,party monster,"Biography,Documentary",29%,75%
Town & Country,town & country,"Comedy,Romance",13%,14%
U-571,u-571,"Action,War",68%,62%
Wild Man Blues,wild man blues,"Documentary,Music,Romance",86%,66%
The Cabin,the cabin,"Comedy,Horror",,
Close,close,"Crime,Drama",,
The Corruptor,the corruptor,"Action,Crime,Thriller",48%,43%
Crazy in Alabama,crazy in alabama,"Comedy,Crime,Drama",30%,64%
Down in the Delta,down in the delta,Drama,76%,71%
The Ninth Gate,the ninth gate,"Mystery,Thriller",43%,58%
One,one,Drama,,
The World Is Not Enough,the world is not enough,"Action,Adventure,Thriller",51%,49%
American Psycho,american psycho,"Crime,Drama,Horror",68%,85%
The Boondock Saints,the boondock saints,"Action,Crime,Thriller",26%,91%
Bride of Chucky,bride of chucky,"Comedy,Horror,Thriller",48%,50%
Fallout,fallout,Drama,,
The General's Daughter,the general's daughter,"Crime,Drama,Mystery",21%,46%
Nutty Professor II: The Klumps,nutty professor ii: the klumps,"Comedy,Romance,Sci-Fi",27%,33%
Three to Tango,three to tango,"Comedy,Romance",29%,48%
To Return,volver,Drama,91%,89%
Holy Smoke,holy smoke,"Comedy,Drama",46%,47%
The Rage: Carrie 2,the rage: carrie 2,"Drama,Horror,Sci-Fi",23%,33%
Highlander: Endgame,highlander: endgame,"Action,Adventure,Fantasy",11%,38%
Spider-Man,spider-man,"Action,Adventure,Sci-Fi",90%,67%
Sunshine,sunshine,"Drama,History,Romance",77%,73%
Stigmata,stigmata,"Horror,Mystery",22%,63%
Angela's Ashes,angela's ashes,"Biography,Drama",52%,81%
Austin Powers: The Spy Who Shagged Me,austin powers: the spy who shagged me,"Action,Adventure,Comedy",53%,71%
The Bone Collector,the bone collector,"Crime,Drama,Mystery",29%,63%
Playing by Heart,playing by heart,"Comedy,Drama,Romance",60%,79%
Simply Irresistible,simply irresistible,"Comedy,Drama,Fantasy",16%,54%
The Princess and the Pea,the princess and the pea,"Adventure,Animation,Family",,
The Princess and the Pea,the princess and the pea,"Adventure,Animation,Family",,60%
Respect,respect,"Crime,Drama,Thriller",,
Thirteen Days,thirteen days,"Drama,History,Thriller",83%,80%
Lara Croft: Tomb Raider,lara croft: tomb raider,"Action,Adventure,Fantasy",20%,47%
Urban Legend,urban legend,"Horror,Mystery,Thriller",28%,37%
End of Days,end of days,"Action,Fantasy,Horror",11%,33%
Any Given Sunday,any given sunday,"Drama,Sport",52%,73%
The Legend of Bagger Vance,the legend of bagger vance,"Drama,Sport",43%,65%
Little Voice,little voice,"Comedy,Drama,Music",80%,74%
Milk,milk,,93%,89%
10 Things I Hate About You,10 things i hate about you,"Comedy,Drama,Romance",71%,69%
At Sachem Farm,at sachem farm,Drama,,88%
Falling,falling,Documentary,,
Chips,chips,Musical,19%,45%
Heist,heist,"Crime,Thriller",,
Strays,strays,"Crime,Drama",40%,44%
Deep Blue Sea,deep blue sea,"Action,Adventure,Sci-Fi",,
Where the Money Is,where the money is,"Comedy,Crime,Drama",48%,36%
All Together Now,all together now,Drama,,78%
All the Pretty Horses,all the pretty horses,"Drama,Romance,Western",32%,42%
Anywhere But Here,anywhere but here,"Comedy,Drama",63%,55%
Cradle Will Rock,cradle will rock,Drama,65%,71%
Earth,earth,"Drama,Romance,War",,
Hilary and Jackie,hilary and jackie,"Biography,Drama,Music",88%,83%
Jeepers Creepers,jeepers creepers,"Comedy,Western",45%,49%
Topsy-Turvy,topsy-turvy,"Biography,Comedy,Drama",90%,79%
The Minus Man,the minus man,"Crime,Drama,Mystery",59%,46%
The Missing,the missing,"Crime,Mystery,Thriller",,58%
Never Been Kissed,never been kissed,"Comedy,Drama,Romance",55%,69%
Office Space,office space,Comedy,81%,93%
Rings,rings,Action,,60%
Superstar,superstar,Adult,,57%
Unforgivable,unforgivable,"Adult,Comedy",,69%
Up at the Villa,up at the villa,"Drama,Romance",45%,35%
Avatar,avatar,Drama,81%,82%
"Hey There, It's Yogi Bear","hey there, it's yogi bear","Adventure,Animation,Comedy",,55%
Flawless,flawless,"Crime,Drama",40%,54%
Jawbreaker,jawbreaker,"Comedy,Crime,Thriller",14%,55%
Lovers,lovers,"Comedy,Drama,Romance",,50%
Umma,umma,Drama,31%,51%
"Baby, It's You","baby, it's you",Documentary,94%,71%
The Big Tease,the big tease,Comedy,56%,54%
Deliver Us from Evil,deliver us from evil,Drama,,
Deliver Us from Evil,deliver us from evil,Drama,100%,89%
Kingdom Come,kingdom come,,27%,72%
Mr. Accident,mr. accident,Comedy,17%,31%
My Dog Skip,my dog skip,"Comedy,Drama,Family",73%,68%
The Next Best Thing,the next best thing,"Comedy,Drama,Romance",19%,35%
Random Hearts,random hearts,"Drama,Mystery,Romance",18%,24%
The Suburbans,the suburbans,"Comedy,Drama",0%,22%
Clockstoppers,clockstoppers,"Action,Adventure,Comedy",29%,30%
Drop Dead Gorgeous,drop dead gorgeous,"Comedy,Romance,Thriller",47%,75%
Sweet and Lowdown,sweet and lowdown,"Comedy,Drama,Music",77%,82%
Belly,belly,"Crime,Drama",23%,87%
The Concert for Bangladesh,the concert for bangladesh,"Documentary,Music",,95%
The Flintstones in Viva Rock Vegas,the flintstones in viva rock vegas,"Comedy,Family,Romance",25%,20%
Muppets from Space,muppets from space,"Adventure,Comedy,Family",63%,58%
"South Park: Bigger, Longer & Uncut","south park: bigger, longer & uncut","Animation,Comedy,Fantasy",81%,88%
The Virgin Suicides,the virgin suicides,"Drama,Romance",80%,81%
Beautiful People,beautiful people,"Comedy,Drama,War",80%,85%
Cold Mountain,cold mountain,"Adventure,Drama,Romance",70%,77%
Confirmation,confirmation,,84%,73%
Croupier,croupier,"Crime,Drama,Thriller",95%,79%
The Adventures of Elmo in Grouchland,the adventures of elmo in grouchland,"Adventure,Comedy,Family",77%,64%
Ted,ted,Comedy,,
Charlie's Angels,charlie's angels,"Action,Adventure,Comedy",68%,45%
Dudley Do-Right,dudley do-right,"Comedy,Family,Romance",16%,24%
Trippin',trippin',Comedy,18%,79%
The Hunt,the hunt,Documentary,,
The Hunt,the hunt,Documentary,,19%
Impostor,impostor,"Drama,Mystery,Sci-Fi",25%,41%
The Independent,the independent,Comedy,60%,49%
Love Happens,love happens,"Comedy,Romance",16%,37%
Lost Souls,lost souls,"Drama,Horror,Thriller",,
